Folio,Sequence,RV,Label,DefaultImage
urn:cite:hmt:gen44.43v,86,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 43v",urn:cite:ecod:gen44.gen44_086
urn:cite:hmt:gen44.44r,87,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 44r",urn:cite:ecod:gen44.gen44_087
urn:cite:hmt:gen44.44v,88,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 44v",urn:cite:ecod:gen44.gen44_088
urn:cite:hmt:gen44.45r,89,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 45r",urn:cite:ecod:gen44.gen44_089
urn:cite:hmt:gen44.45v,90,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 45v",urn:cite:ecod:gen44.gen44_090
urn:cite:hmt:gen44.46r,91,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 46r",urn:cite:ecod:gen44.gen44_091
urn:cite:hmt:gen44.46v,92,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 46v",urn:cite:ecod:gen44.gen44_092
urn:cite:hmt:gen44.47r,93,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 47r",urn:cite:ecod:gen44.gen44_093
urn:cite:hmt:gen44.47v,94,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 47v",urn:cite:ecod:gen44.gen44_094
urn:cite:hmt:gen44.48r,95,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 48r",urn:cite:ecod:gen44.gen44_095
urn:cite:hmt:gen44.48v,96,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 48v",urn:cite:ecod:gen44.gen44_096
urn:cite:hmt:gen44.49r,97,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 49r",urn:cite:ecod:gen44.gen44_097
urn:cite:hmt:gen44.49v,98,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 49v",urn:cite:ecod:gen44.gen44_098
urn:cite:hmt:gen44.50r,99,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 50r",urn:cite:ecod:gen44.gen44_099
urn:cite:hmt:gen44.50v,100,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 50v",urn:cite:ecod:gen44.gen44_100
urn:cite:hmt:gen44.51r,101,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 51r",urn:cite:ecod:gen44.gen44_101
urn:cite:hmt:gen44.51v,102,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 51v",urn:cite:ecod:gen44.gen44_102
urn:cite:hmt:gen44.52r,103,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 52r",urn:cite:ecod:gen44.gen44_103
urn:cite:hmt:gen44.52v,104,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 52v",urn:cite:ecod:gen44.gen44_104
urn:cite:hmt:gen44.53r,105,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 53r",urn:cite:ecod:gen44.gen44_105
urn:cite:hmt:gen44.53v,106,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 53v",urn:cite:ecod:gen44.gen44_106
urn:cite:hmt:gen44.54r,107,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 54r",urn:cite:ecod:gen44.gen44_107
urn:cite:hmt:gen44.54v,108,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 54v",urn:cite:ecod:gen44.gen44_108
urn:cite:hmt:gen44.55r,109,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 55r",urn:cite:ecod:gen44.gen44_109
urn:cite:hmt:gen44.55v,110,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 55v",urn:cite:ecod:gen44.gen44_110
urn:cite:hmt:gen44.56r,111,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 56r",urn:cite:ecod:gen44.gen44_111
urn:cite:hmt:gen44.56v,112,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 56v",urn:cite:ecod:gen44.gen44_112
urn:cite:hmt:gen44.57r,113,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 57r",urn:cite:ecod:gen44.gen44_113
urn:cite:hmt:gen44.57v,114,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 57v",urn:cite:ecod:gen44.gen44_114
urn:cite:hmt:gen44.58r,115,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 58r",urn:cite:ecod:gen44.gen44_115
urn:cite:hmt:gen44.58v,116,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 58v",urn:cite:ecod:gen44.gen44_116
urn:cite:hmt:gen44.59r,117,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 59r",urn:cite:ecod:gen44.gen44_117
urn:cite:hmt:gen44.59v,118,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 59v",urn:cite:ecod:gen44.gen44_118
urn:cite:hmt:gen44.60r,119,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 60r",urn:cite:ecod:gen44.gen44_119
